Ticker,Company,ESG Risk score,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Level,CDP Score,Sustainability Score,title,quote,current_price,day_range,year_range,market_cap,revenue,website,net_income,news1,news2
OTIS,Otis Worldwide,0,0,0,0,0,B,27,Otis Worldwide Corp,OTIS:NYSE,$81.12 ,$80.71 - $81.78,$62.49 - $91.33,33.40B USD,3.72B,otis.com,376.00M,https://www.marketwatch.com/data-news/otis-worldwide-corp-stock-rises-thursday-still-underperforms-market-1af7fe86-ecb5473226c4,https://beststocks.com/putnam-investments-llc-increases-holdings-in-otis/
PCAR,Paccar,28,8.4,11,8.4,3,A,62,PACCAR Inc,PCAR:NASDAQ,$85.22 ,$84.86 - $85.87,$54.64 - $90.05,44.55B USD,8.88B,paccar.com,1.22B,https://www.marketwatch.com/data-news/paccar-inc-stock-falls-friday-still-outperforms-market-3491c052-9ea5e9dd4803,https://finance.yahoo.com/news/paccar-pcar-stock-moves-0-220019126.html
PKG,Packaging Corporation of America,17,11.6,1.4,3.8,1,C,34,Packaging Corp Of America,PKG:NYSE,$149.75 ,$149.26 - $151.66,$110.56 - $158.66,13.46B USD,1.95B,packagingcorp.com,202.70M,https://finance.yahoo.com/news/packaging-corporation-america-nyse-pkg-121015344.html,https://simplywall.st/stocks/us/materials/nyse-pkg/packaging-corporation-of-america/news/packaging-corporation-of-america-nysepkg-pays-a-us125-divide
PANW,Palo Alto Networks,14,0.7,7.6,5.6,1,A,44,Palo Alto Networks Inc,PANW:NASDAQ,$240.20 ,$238.57 - $245.69,$132.22 - $258.88,74.12B USD,1.95B,paloaltonetworks.com,227.70M,https://investorplace.com/2023/08/3-ai-stocks-with-the-potential-to-transform-your-financial-future/,https://www.barrons.com/articles/palo-alto-networks-stock-price-earnings-682a802b
PARA,Paramount Global,0,0,0,0,0,C,22,Paramount Global Class B,PARA:NASDAQ,$14.06 ,$13.73 - $14.57,$12.84 - $25.93,9.30B USD,7.62B,paramount.com,-299.00M,https://www.thecoinrepublic.com/2023/09/07/para-stock-shows-declining-trend-can-overselling-leads-to-end/,https://www.barrons.com/articles/streaming-stocks-paramount-warner-ceos-e56e5c5
PH,Parker Hannifin,29,9.2,13.7,6.2,2,B,50,Parker-Hannifin Corp,PH:NYSE,$392.12 ,$388.69 - $394.64,$235.69 - $428.16,50.36B USD,5.10B,phstock.com,708.96M,https://www.marketwatch.com/data-news/parker-hannifin-corp-stock-outperforms-competitors-on-strong-trading-day-84ad6b1c-8ba3a5b5b8bf,https://beststocks.com/florida-retirement-system-reduces-position-in-park/
PAYX,Paychex,17,1.2,9.8,6.5,0,C,27,"Paychex, Inc.",PAYX:NASDAQ,$115.97 ,$115.73 - $119.00,$104.09 - $129.70,41.87B USD,1.23B,paychex.com,350.40M,https://www.nasdaq.com/articles/cgemy-or-payx:-which-is-the-better-value-stock-right-now-4,-
PAYC,Paycom,0,0,0,0,0,-,0,Paycom Software Inc,PAYC:NYSE,$277.92 ,$277.22 - $280.84,$262.12 - $374.04,16.81B USD,401.14M,paycom.com,64.52M,https://www.marketwatch.com/data-news/paycom-software-inc-stock-rises-thursday-still-underperforms-market-d76a1c50-b7516d9a3214,https://www.investorsobserver.com/news/stock-update/will-paycom-software-inc-payc-beat-the-rest-of-the-stocks-in-the-technology-sector-3
PYPL,PayPal,16,0.7,9.9,5.4,2,A-,49,PayPal Holdings Inc,PYPL:NASDAQ,$64.21 ,$63.91 - $65.73,$57.29 - $95.64,70.50B USD,7.29B,paypal.com,1.03B,https://investorplace.com/2023/09/3-red-hot-growth-stocks-set-to-surge-100-in-one-year/,https://www.fool.com/investing/2023/09/16/2-magnificent-stocks-to-buy-on-the-dip/
PNR,Pentair,23,6.7,10,6.1,1,-,14,Pentair PLC,PNR:NYSE,$66.86 ,$66.26 - $67.11,$38.55 - $71.82,11.04B USD,1.08B,pentair.com,152.90M,https://beststocks.com/proshare-advisors-llc-reduces-stake-in-pentair-plc/,-
